SOURCE: res.md

RESTAURANT: King Croissant
  CATEGORY: كعكة طرابلسية / Tripoli Kaak
    - زعتر وعكاوي | LBP 200000 | USD 2.22
    - عكاوي | LBP 230000 | USD 2.56
    - عكاوي وقشقوان | LBP 250000 | USD 2.78
    - حلوم مع خضار | LBP 300000 | USD 3.33
    - لبنة حرة | LBP 300000 | USD 3.33
    - لبنة مع خضار | LBP 300000 | USD 3.33
    - زعتر مع جبنة | LBP 350000 | USD 3.89
    - مرتديلا وقشقوان | LBP 300000 | USD 3.33
    - حبش صدر مدخن | LBP 300000 | USD 3.33
    - 3 أجبان | LBP 250000 | USD 2.78
    - 4 أجبان | LBP 230000 | USD 2.56
    - 5 أجبان | LBP 250000 | USD 2.78
    - بيكون | LBP 200000 | USD 2.22
    - بيكون مع عكاوي | LBP 230000 | USD 2.56
    - جبنة وشيتوس | LBP 250000 | USD 2.78
    - سجق | LBP 260000 | USD 2.89
    - بيبروني | LBP 250000 | USD 2.78
    - هوت دوج | LBP 180000 | USD 2.00
    - شاورما | LBP 200000 | USD 2.22
    - فاهيتا | LBP 200000 | USD 2.22
    - طاووق مع موزاريلا | LBP 250000 | USD 2.78
    - بستاشيو | LBP 300000 | USD 3.33
    - لوتس | LBP 260000 | USD 2.89
    - كوكتيل شوكولا | LBP 280000 | USD 3.11
    - نوتيلا | LBP 300000 | USD 3.33
  CATEGORY: كرواسون بيتزا / Croissant Pizza
    - بيتزا خضار | LBP 300000 | USD 3.33
    - بيتزا مرتديلا كوكتيل حبش | LBP 300000 | USD 3.33
    - بيتزا حبش مدخن | LBP 330000 | USD 3.67
    - بيتزا سجق | LBP 330000 | USD 3.67
    - بيتزا بيبروني | LBP 330000 | USD 3.67
    - بيتزا هوت دوج | LBP 350000 | USD 3.89
    - 3 أجبان مفتوح | LBP 300000 | USD 3.33
    - 4 أجبان مفتوح | LBP 330000 | USD 3.67
    - 5 أجبان مفتوح | LBP 350000 | USD 3.89
    - طاووق موزاريلا مفتوح | LBP 350000 | USD 3.89
    - فاهيتا موزاريلا مفتوح | LBP 350000 | USD 3.89
    - قاورما مفتوح | LBP 400000 | USD 4.44
    - كشك مفتوح | LBP 270000 | USD 3.00
    - زعتر مفتوح | LBP 150000 | USD 1.67
    - جبنة مفتوح | LBP 250000 | USD 2.78
